Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
3/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
5/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
6/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
7/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
8/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
9/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
10/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
11/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
12/4/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/13/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/14/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/15/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/16/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/17/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/18/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/19/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/20/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/21/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/22/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/23/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/24/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/25/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/26/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/27/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/28/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/29/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
4/30/2010,23,32.6,26.7,84,10.5,0.5,10,0,4,N 
1/5/2010,24,29.8,25.6,92,0,0.4,4,180,1,S 
2/5/2010,24,30.4,27.2,87,0,0.6,6,180,2,N 
3/5/2010,24,30,26.7,90,43.8,0.2,4,180,2,W 
4/5/2010,24,31,27.2,87,0,0.4,5,180,3,SW
5/5/2010,24,31.2,27,92,0,0.5,6,225,3,N 
6/5/2010,24,30,24.9,97,0,0.2,5,360,2,N 
7/5/2010,24,31,26.4,90,0,0.5,6,360,3,SW
8/5/2010,24,30,26,93,0,0.4,8,360,2,N 
9/5/2010,24,30,27.4,88,12,0.2,4,180,0,S 
10/5/2010,24,29.8,26.1,92,0,0.2,5,180,2,N 
11/5/2010,25,30.4,24.9,96,27.8,0.2,4,180,2,SW
12/5/2010,24,29,26.1,94,16,0.3,4,180,2,S 
5/13/2010,25,30.8,26.3,81,0,0.5,5,180,3,N 
5/14/2010,24,30.8,27.2,90,12,0.5,5,360,2,N 
5/15/2010,24,31,26.5,88,0,0.3,4,180,2,N 
5/16/2010,24,31.2,27,84,0,0.4,5,180,2,SW
5/17/2010,24,30,26.9,91,4,0.2,6,360,3,S 
5/18/2010,25,30.4,24.1,90,5.8,0.4,5,180,2,N 
5/19/2010,25,30,25.8,95,43.4,0.2,5,180,3,N 
5/20/2010,24,30.4,26.6,98,0,0.3,5,180,2,N 
5/21/2010,24,30.4,26.7,91,48.8,0.4,4,180,2,S 
5/22/2010,24,30.8,27.1,86,9.2,0.3,5,180,2,SW
5/23/2010,24,29.8,25.8,95,5.1,0.2,5,360,2,N 
5/24/2010,25,29.6,26.1,92,4,0.4,3,360,2,N 
5/25/2010,24,30.2,26.6,90,13,0.6,4,180,2,S 
5/26/2010,24,30.2,26.1,91,0.7,0.7,5,180,3,S 
5/27/2010,24,29.6,26.5,90,14.5,0.2,3,180,2,N 
5/28/2010,25,29.6,25.6,89,0.5,0.4,8,360,4,N 
5/29/2010,24,29.6,26.5,90,0,0.6,5,180,4,S 
5/30/2010,24,30.6,26.6,84,0,0.7,4,180,2,S 
5/31/2010,23,29.4,26.3,88,0,0,4,180,2,N 
1/6/2010,24,30.6,25.8,91,3.2,0.4,6,360,3,N 
2/6/2010,24,30,26.2,90,14.1,0.2,8,270,3,N 
3/6/2010,24,29.6,26.3,92,115.4,0.2,6,180,2,N 
4/6/2010,24,29.2,25.7,92,17.7,0.2,5,180,3,N 
5/6/2010,23,27.6,24.3,92,15.9,0.2,6,180,4,N 
6/6/2010,23,29.4,25.4,91,0,0.6,4,180,3,N 
7/6/2010,23,30,25.8,89,11.5,0.7,4,180,3,N 
8/6/2010,25,30.2,25.4,90,19,0.5,6,180,3,N 
9/6/2010,19,26.8,25.7,91,2,0,8,360,3,N 
10/6/2010,23,30,25.3,92,6,0.6,5,180,2,N 
11/6/2010,24,29.6,25.9,87,0.2,0.3,5,360,2,N 
12/6/2010,24,28.8,26.5,88,10.5,0.1,3,180,2,N 
6/13/2010,23,28.2,25.4,94,20.2,0.2,4,180,2,N 
6/14/2010,24,29.6,25.2,90,0.3,0.6,4,180,2,N 
6/15/2010,20,29.2,25.6,91,10.1,0.3,8,180,3,N 
6/16/2010,24,29,26.2,88,12.4,0.4,8,180,3,N 
6/17/2010,23,29.4,25.8,90,1,0.5,5,180,3,N 
6/18/2010,24,29.4,24.9,92,5.2,0.2,13,180,3,N 
6/19/2010,22,25.8,24.9,90,0,0,8,360,3,N 
6/20/2010,23,29.2,25.5,84,0,0.2,5,180,2,N 
6/21/2010,23,28.2,25.1,89,83.4,0.1,5,180,3,N 
6/22/2010,23,27.4,24.8,90,0.8,0,4,360,1,N 
6/23/2010,23,29.4,25.1,90,0,0.4,4,180,2,N 
6/24/2010,23,29.2,25.1,88,0,0.6,5,180,3,N 
6/25/2010,24,30,25,89,0.4,0.6,7,180,3,N 
6/26/2010,23,29,25.6,90,8.2,0.3,5,180,3,N 
6/27/2010,22,29.6,24.9,93,23.2,0.2,8,180,3,N 
6/28/2010,22,27.2,24.2,96,0,0.1,8,360,3,N 
6/29/2010,24,29.2,25.1,86,0,0.6,4,180,2,N 
6/30/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
