Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
06-04-2010,,,,,,,,,,
07-04-2010,,,,,,,,,,
08-04-2010,,,,,,,,,,
09-04-2010,,,,,,,,,,
10-04-2010,,,,,,,,,,
11-04-2010,,,,,,,,,,
12-04-2010,,,,,,,,,,
13-04-2010,,,,,,,,,,
14-04-2010,,,,,,,,,,
15-04-2010,,,,,,,,,,
16-04-2010,,,,,,,,,,
17-04-2010,,,,,,,,,,
18-04-2010,,,,,,,,,,
19-04-2010,,,,,,,,,,
20-04-2010,,,,,,,,,,
21-04-2010,,,,,,,,,,
22-04-2010,,,,,,,,,,
23-04-2010,,,,,,,,,,
24-04-2010,,,,,,,,,,
25-04-2010,,,,,,,,,,
26-04-2010,,,,,,,,,,
27-04-2010,,,,,,,,,,
28-04-2010,,,,,,,,,,
29-04-2010,,,,,,,,,,
30-04-2010,,,,,,,,,,
01-05-2010,24,29.8,25.6,92,0,0.4,4,180,1,S 
02-05-2010,24,30.4,27.2,87,0,0.6,6,180,2,N 
03-05-2010,24,30,26.7,90,43.8,0.2,4,180,2,W 
04-05-2010,24,31,27.2,87,0,0.4,5,180,3,SW
05-05-2010,24,31.2,27,92,0,0.5,6,225,3,N 
06-05-2010,24,30,24.9,97,0,0.2,5,360,2,N 
07-05-2010,24,31,26.4,90,0,0.5,6,360,3,SW
08-05-2010,24,30,26,93,0,0.4,8,360,2,N 
09-05-2010,24,30,27.4,88,12,0.2,4,180,0,S 
10-05-2010,24,29.8,26.1,92,0,0.2,5,180,2,N 
11-05-2010,25,30.4,24.9,96,27.8,0.2,4,180,2,SW
12-05-2010,24,29,26.1,94,16,0.3,4,180,2,S 
13-05-2010,25,30.8,26.3,81,0,0.5,5,180,3,N 
14-05-2010,24,30.8,27.2,90,12,0.5,5,360,2,N 
15-05-2010,24,31,26.5,88,0,0.3,4,180,2,N 
16-05-2010,24,31.2,27,84,0,0.4,5,180,2,SW
17-05-2010,24,30,26.9,91,4,0.2,6,360,3,S 
18-05-2010,25,30.4,24.1,90,5.8,0.4,5,180,2,N 
